"","mix.ID","sample","family","genus","species","question.1","question.2","question.3","spp.rich","pollen.grain.proportion","relatedness","sample.mix","quant.species.rbcL","qual.species.rbcL","quant.genus.rbcL","qual.genus.rbcL","quant.family.rbcL","qual.family.rbcL","quant.species.ITS","qual.species.ITS","quant.genus.ITS","qual.genus.ITS","quant.family.ITS","qual.family.ITS"
"29","mix12","S45","Poaceae","Zea","Zea mays",2,99,99,2,0.16,3,"mix12_S45",0,0,0,0,0.486527540838027,1,0.155902004454343,1,0.234200743494424,1,0.234200743494424,1
"30","mix12","S45","Moraceae","Broussonetia","Broussonetia papyrifera",2,99,99,2,0.84,3,"mix12_S45",0.650771969038454,1,0.64961573423684,1,0.510714869949288,1,0.621380846325167,1,0.345724907063197,1,0.478314745972739,1
"31","mix12","S43","Poaceae","Zea","Zea mays",2,99,99,2,0.16,3,"mix12_S43",0,0,0,0,0.481060606060606,1,0.176308539944904,1,0.232620320855615,1,0.274064171122995,1
"32","mix12","S43","Moraceae","Broussonetia","Broussonetia papyrifera",2,99,99,2,0.84,3,"mix12_S43",0.662920923193341,1,0.66194416109411,1,0.516377649325626,1,0.721763085399449,1,0.350267379679144,1,0.442513368983957,1
"33","mix13","S46","Asteraceae","Artemisia","Artemisia tridentata",2,99,99,4,0.36,3,"mix13_S46",0,0,0,0,0.0187812735622729,1,0,0,0.618435569285084,1,0.617094017094017,1
"34","mix13","S46","Moraceae","Broussonetia","Broussonetia papyrifera",2,99,99,4,0.41,3,"mix13_S46",0.488626447146431,1,0.478575498575499,1,0.402289396120365,1,0.0106480631540297,1,0.00319947043248014,1,0.0030982905982906,1
"35","mix13","S46","Poaceae","Zea","Zea mays",2,99,99,4,0.02,3,"mix13_S46",0,0,0,0,0.570635410240592,1,0,0,0,0,0.37232905982906,1
"36","mix13","S46","Poaceae","Poa","Poa pratensis",2,99,99,4,0.22,3,"mix13_S46",0.324684391180406,1,0.324786324786325,1,0.570635410240592,1,0.700201946025335,1,0.370642100617829,1,0.37232905982906,1
"37","mix13","S47","Asteraceae","Artemisia","Artemisia tridentata",2,99,99,4,0.36,3,"mix13_S47",0,0,0,0,0.0153864409461277,1,0,0,0.614823188750719,1,0.613536991736811,1
"38","mix13","S47","Moraceae","Broussonetia","Broussonetia papyrifera",2,99,99,4,0.41,3,"mix13_S47",0.47342315168577,1,0.465099433688924,1,0.39510323550352,1,0.0100080064051241,1,0.00297495091330993,1,0.00288922703546045,1
"39","mix13","S47","Poaceae","Zea","Zea mays",2,99,99,4,0.02,3,"mix13_S47",0,0,0,0,0.582588402816233,1,0,0,0,0,0.37548394552844,1
"40","mix13","S47","Poaceae","Poa","Poa pratensis",2,99,99,4,0.22,3,"mix13_S47",0.327904015014411,1,0.328197023574345,1,0.582588402816233,1,0.706832132372565,1,0.372741516431646,1,0.37548394552844,1
"41","mix13","S48","Asteraceae","Artemisia","Artemisia tridentata",2,99,99,4,0.36,3,"mix13_S48",0,0,0,0,0.0205171627694913,1,0,0,0.643457768732259,1,0.643620299979453,1
"42","mix13","S48","Moraceae","Broussonetia","Broussonetia papyrifera",2,99,99,4,0.41,3,"mix13_S48",0.453238244332348,1,0.444198204341402,1,0.369308929850843,1,0.00982800982800983,1,0.00299930373306197,1,0.00287651530717074,1
"43","mix13","S48","Poaceae","Zea","Zea mays",2,99,99,4,0.02,3,"mix13_S48",0,0,0,0,0.602683514622549,1,0,0,0,0,0.347698787754263,1
"44","mix13","S48","Poaceae","Poa","Poa pratensis",2,99,99,4,0.22,3,"mix13_S48",0.337334029106511,1,0.337481531992272,1,0.602683514622549,1,0.665847665847666,1,0.347490761073322,1,0.347698787754263,1
"45","mix14","S49","Asteraceae","Artemisia","Artemisia tridentata",2,99,99,6,0.26,4,"mix14_S49",0,0,0,0,0.00438959039990879,1,0,0,0.474037213327564,1,0.469970804949256,1
"46","mix14","S49","Moraceae","Broussonetia","Broussonetia papyrifera",2,99,99,6,0.19,4,"mix14_S49",0.305753884922302,1,0.0709597764637078,1,0.0904426645383804,1,0.00606817776191326,1,0.00245204096350786,1,0.00236340886973446,1
"47","mix14","S49","Amaranthaceae","Bassia","Bassia scoparia",2,99,99,6,0.1,4,"mix14_S49",0.118297634047319,1,0.027454675417506,1,0.0266795884046404,1,0.378368731036945,1,0.203375162267417,1,0.205338523564577,1
"48","mix14","S49","Poaceae","Zea","Zea mays",2,99,99,6,0.09,4,"mix14_S49",0,0,0,0,0.164723655331642,1,0,0,0,0,0.290490754900598,1
"49","mix14","S49","Salicaceae","Populus","Populus tremuloides",2,99,99,6,0.16,4,"mix14_S49",0.0103597928041439,1,0.805640392488141,1,0.711484194624177,1,0.0249866143137605,1,0.0259627866724362,1,0.0276657861810093,1
"50","mix14","S49","Poaceae","Poa","Poa pratensis",2,99,99,6,0.21,4,"mix14_S49",0.253814923701526,1,0.0589057118721164,1,0.164723655331642,1,0.396216312689631,1,0.289845665657003,1,0.290490754900598,1
"51","mix14","S50","Asteraceae","Artemisia","Artemisia tridentata",2,99,99,6,0.26,4,"mix14_S50",0,0,0,0,0.00386961201373584,1,0,0,0.475906488549618,1,0.472989747597812,1
"52","mix14","S50","Moraceae","Broussonetia","Broussonetia papyrifera",2,99,99,6,0.19,4,"mix14_S50",0.315309767212711,1,0.0743559208806529,1,0.0931782071651889,1,0.00717445892622265,1,0.00286259541984733,1,0.00275849386235116,1
"53","mix14","S50","Amaranthaceae","Bassia","Bassia scoparia",2,99,99,6,0.1,4,"mix14_S50",0.118364330582584,1,0.0279125156118389,1,0.0264978729947209,1,0.372593566901829,1,0.202814885496183,1,0.204220495609397,1
"54","mix14","S50","Poaceae","Zea","Zea mays",2,99,99,6,0.09,4,"mix14_S50",0,0,0,0,0.166316436881759,1,0,0,0,0,0.282929520481817,1
"55","mix14","S50","Salicaceae","Populus","Populus tremuloides",2,99,99,6,0.16,4,"mix14_S50",0.0102229338588496,1,0.798193383484853,1,0.708677156475834,1,0.0308501733827574,1,0.030486641221374,1,0.0331019263482139,1
"56","mix14","S50","Poaceae","Poa","Poa pratensis",2,99,99,6,0.21,4,"mix14_S50",0.244857741101121,1,0.0591942838885823,1,0.166316436881759,1,0.378572282673682,1,0.283778625954198,1,0.282929520481817,1
"57","mix14","S51","Asteraceae","Artemisia","Artemisia tridentata",2,99,99,6,0.26,4,"mix14_S51",0,0,0,0,0.00482301412819333,1,0,0,0.482640661697131,1,0.479074565281462,1
"58","mix14","S51","Moraceae","Broussonetia","Broussonetia papyrifera",2,99,99,6,0.19,4,"mix14_S51",0.314005782203662,1,0.0762004989086374,1,0.093869829745897,1,0.00995155165640958,1,0.00388032267946492,1,0.00373317614696925,1
"59","mix14","S51","Amaranthaceae","Bassia","Bassia scoparia",2,99,99,6,0.1,4,"mix14_S51",0.123514294892387,1,0.0299734954786405,1,0.0288699149581608,1,0.348173366505172,1,0.191514346982539,1,0.192749778956675,1
"60","mix14","S51","Poaceae","Zea","Zea mays",2,99,99,6,0.09,4,"mix14_S51",0,0,0,0,0.174293164272202,1,0,0,0,0,0.282493368700265,1
"61","mix14","S51","Salicaceae","Populus","Populus tremuloides",2,99,99,6,0.16,4,"mix14_S51",0.00971731448763251,1,0.790088088556283,1,0.695843345774324,1,0.0366636113657195,1,0.034616562851016,1,0.0375282444247962,1
"62","mix14","S51","Poaceae","Poa","Poa pratensis",2,99,99,6,0.21,4,"mix14_S51",0.254176035978156,1,0.0629287496102276,1,0.174293164272202,1,0.388503339007464,1,0.282752986827326,1,0.282493368700265,1
"63","mix15","S53","Amaranthaceae","Bassia","Bassia scoparia",2,99,99,8,0.09,4,"mix15_S53",0.112020716732103,1,0.0282947208507406,1,0.0271988174427199,1,0.134624581539933,1,0.11530305271983,1,0.115738773197337,1
"64","mix15","S53","Salicaceae","Populus","Populus tremuloides",2,99,99,8,0.15,4,"mix15_S53",0.00902180268983377,1,0.782250917837701,1,0.690169992609017,1,0.0106009883628248,1,0.0178034225970311,1,0.0195495112622184,1
"65","mix15","S53","Juglandaceae","Carya","Carya illinoinensis",2,99,99,8,0.13,4,"mix15_S53",0,0,0,0,0,0,0.00239120038259206,1,0.00147950880307738,1,0.00141663125088539,1
"66","mix15","S53","Moraceae","Broussonetia","Broussonetia papyrifera",2,99,99,8,0.15,4,"mix15_S53",0.324116615153287,1,0.0818669029835,1,0.102586844050259,1,0,0,0,0,0,0
"67","mix15","S53","Asteraceae","Ambrosia","Ambrosia artemisiifolia",2,99,99,8,0.14,4,"mix15_S53",0,0,0,0,0.00375092387287509,1,0.599713055954089,1,0.372737584455294,1,0.685082872928177,1
"68","mix15","S53","Asteraceae","Artemisia","Artemisia tridentata",2,99,99,8,0.16,4,"mix15_S53",0,0,0,0,0.00375092387287509,1,0,0,0.312916111850865,1,0.685082872928177,1
"69","mix15","S53","Poaceae","Poa","Poa pratensis",2,99,99,8,0.13,4,"mix15_S53",0.261465207584997,1,0.0674135966578048,1,0.174593495934959,1,0.163318986131038,1,0.176801301967747,1,0.175378948859612,1
"70","mix15","S53","Poaceae","Zea","Zea mays",2,99,99,8,0.05,4,"mix15_S53",0,0,0,0,0.174593495934959,1,0,0,0,0,0.175378948859612,1
"71","mix15","S52","Amaranthaceae","Bassia","Bassia scoparia",2,99,99,8,0.09,4,"mix15_S52",0.118755292125318,1,0.0315203955500618,1,0.0300726227031242,1,0.143268904713462,1,0.115293389708157,1,0.117705242334322,1
"72","mix15","S52","Salicaceae","Populus","Populus tremuloides",2,99,99,8,0.15,4,"mix15_S52",0,0,0.774581413641982,1,0.676999561339377,1,0.0100033909799932,1,0.0155718263380427,1,0.0149357072205737,1
"73","mix15","S52","Juglandaceae","Carya","Carya illinoinensis",2,99,99,8,0.13,4,"mix15_S52",0,0,0,0,0,0,0,0,0,0,0,0
"74","mix15","S52","Moraceae","Broussonetia","Broussonetia papyrifera",2,99,99,8,0.15,4,"mix15_S52",0.295512277730737,1,0.0784357793010451,1,0.104060047765268,1,0,0,0,0,0,0
"75","mix15","S52","Asteraceae","Ambrosia","Ambrosia artemisiifolia",2,99,99,8,0.14,4,"mix15_S52",0,0,0,0,0.00511770726714432,1,0.571888775856222,1,0.347839538001444,1,0.669139465875371,1
"76","mix15","S52","Asteraceae","Artemisia","Artemisia tridentata",2,99,99,8,0.16,4,"mix15_S52",0,0,0,0,0.00511770726714432,1,0,0,0.321233371145715,1,0.669139465875371,1
"77","mix15","S52","Poaceae","Poa","Poa pratensis",2,99,99,8,0.13,4,"mix15_S52",0.260160880609653,1,0.0690527025508484,1,0.181849198225861,1,0.186673448626653,1,0.196865009796844,1,0.19515331355094,1
"78","mix15","S52","Poaceae","Zea","Zea mays",2,99,99,8,0.05,4,"mix15_S52",0,0,0,0,0.181849198225861,1,0,0,0,0,0.19515331355094,1
"79","mix15","S54","Amaranthaceae","Bassia","Bassia scoparia",2,99,99,8,0.09,4,"mix15_S54",0.112883283877349,1,0.028229546719436,1,0.0269386652256147,1,0.143748590331554,1,0.119086683073558,1,0.119980796089385,1
"80","mix15","S54","Salicaceae","Populus","Populus tremuloides",2,99,99,8,0.15,4,"mix15_S54",0.00853115727002967,1,0.785603858759508,1,0.691380707916779,1,0.0130065408615894,1,0.0201440160422933,1,0.021822625698324,1
"81","mix15","S54","Juglandaceae","Carya","Carya illinoinensis",2,99,99,8,0.13,4,"mix15_S54",0,0,0,0,0,0,0.00300729268476054,1,0.00182298787713062,1,0.00174581005586592,1
"82","mix15","S54","Moraceae","Broussonetia","Broussonetia papyrifera",2,99,99,8,0.15,4,"mix15_S54",0.336671612265084,1,0.0841939274009029,1,0.10432315590381,1,0.00405984512442673,1,0.00246103363412633,1,0.00235684357541899,1
"83","mix15","S54","Asteraceae","Ambrosia","Ambrosia artemisiifolia",2,99,99,8,0.14,4,"mix15_S54",0,0,0,0,0.00470143204539314,1,0.572362980227051,1,0.346960167714885,1,0.659741620111732,1
"84","mix15","S54","Asteraceae","Artemisia","Artemisia tridentata",2,99,99,8,0.16,4,"mix15_S54",0,0,0,0,0.00470143204539314,1,0,0,0.313964087138821,1,0.659741620111732,1
"85","mix15","S54","Poaceae","Poa","Poa pratensis",2,99,99,8,0.13,4,"mix15_S54",0.255563798219585,1,0.0655494403561932,1,0.170791677924885,1,0.175926622058492,1,0.193282289672774,1,0.192170041899441,1
"86","mix15","S54","Poaceae","Zea","Zea mays",2,99,99,8,0.05,4,"mix15_S54",0,0,0,0,0.170791677924885,1,0,0,0,0,0.192170041899441,1
"87","mix16","S57","Asteraceae","Ambrosia","Ambrosia artemisiifolia",2,99,99,2,0.31,4,"mix16_S57",0,0,0,0,1,1,0.841638981173865,1,0.415368639667705,1,1,1
"88","mix16","S57","Asteraceae","Artemisia","Artemisia tridentata",2,99,99,2,0.69,4,"mix16_S57",0,0,0,0,1,1,0,0,0.584631360332295,1,1,1
"89","mix16","S55","Asteraceae","Ambrosia","Ambrosia artemisiifolia",2,99,99,2,0.31,4,"mix16_S55",0,0,0,0,1,1,0.86897864591955,1,0.479493971501644,1,1,1
"90","mix16","S55","Asteraceae","Artemisia","Artemisia tridentata",2,99,99,2,0.69,4,"mix16_S55",0,0,0,0,1,1,0,0,0.520506028498356,1,1,1
"91","mix16","S56","Asteraceae","Ambrosia","Ambrosia artemisiifolia",2,99,99,2,0.31,4,"mix16_S56",0,0,0,0,1,1,0.837832576249189,1,0.440051626927519,1,1,1
"92","mix16","S56","Asteraceae","Artemisia","Artemisia tridentata",2,99,99,2,0.69,4,"mix16_S56",0,0,0,0,1,1,0,0,0.559948373072481,1,1,1
"93","mix17","S58","Salicaceae","Populus","Populus tremuloides",3,99,99,2,0.36,4,"mix17_S58",0.023731048121292,1,0.939499560769645,1,0.89252186899936,1,0.271526980482204,1,0.953416149068323,1,0.961022087483759,1
"94","mix17","S58","Moraceae","Broussonetia","Broussonetia papyrifera",3,99,99,2,0.64,4,"mix17_S58",0.469127664249615,1,0.0605004392303551,1,0.10747813100064,1,0.0516647531572905,1,0.046583850931677,1,0.0389779125162408,1
"95","mix17","S59","Salicaceae","Populus","Populus tremuloides",3,99,99,2,0.36,4,"mix17_S59",0.0234134319162046,1,0.923312834438144,1,0.884849774319539,1,0.350783475783476,1,0.95,1,0.955116696588869,1
"96","mix17","S59","Moraceae","Broussonetia","Broussonetia papyrifera",3,99,99,2,0.64,4,"mix17_S59",0.591620455945779,1,0.0766871655618561,1,0.115150225680461,1,0.0534188034188034,1,0.05,1,0.0448833034111311,1
"97","mix17","S60","Salicaceae","Populus","Populus tremuloides",3,99,99,2,0.36,4,"mix17_S60",0.0285076846802181,1,0.922571951767267,1,0.880431937172775,1,0.351294241944004,1,0.940116845180136,1,0.945719329214475,1
"98","mix17","S60","Moraceae","Broussonetia","Broussonetia papyrifera",3,99,99,2,0.64,4,"mix17_S60",0.55552801189886,1,0.0774280482327333,1,0.119568062827225,1,0.0501848917062863,1,0.0462512171372931,1,0.0419240953221536,1
"99","mix18","S62","Asteraceae","Artemisia","Artemisia tridentata",3,99,99,2,0.71,4,"mix18_S62",0,0,0.0399610136452242,1,0.805637411915439,1,0,0,0.987745347299908,1,0.984202446392314,1
