"","genus","A.art_S7","A.tri_S6","B.pap_S3","B.sco_S5","C.ill_S4","mix10_S37","mix10_S38","mix10_S39","mix11_S40","mix11_S41","mix11_S42","mix12_S43","mix12_S44","mix12_S45","mix13_S46","mix13_S47","mix13_S48","mix14_S49","mix14_S50","mix14_S51","mix15_S52","mix15_S53","mix15_S54","mix16_S55","mix16_S56","mix16_S57","mix17_S58","mix17_S59","mix17_S60","mix18_S61","mix18_S62","mix18_S63","mix19_S64","mix19_S65","mix19_S66","mix1_S10","mix1_S11","mix1_S12","mix20_S67","mix20_S68","mix20_S69","mix21_S70","mix21_S71","mix21_S72","mix22_S73","mix22_S74","mix22_S75","mix23_S76","mix23_S77","mix23_S78","mix24_S79","mix24_S80","mix24_S81","mix25_S82","mix25_S83","mix25_S84","mix26_S85","mix26_S86","mix26_S87","mix27_S88","mix27_S89","mix27_S90","mix28_S91","mix28_S92","mix28_S93","mix2_S13","mix2_S14","mix2_S15","mix3_S16","mix3_S17","mix3_S18","mix4_S19","mix4_S20","mix4_S21","mix5_S22","mix5_S23","mix5_S24","mix6_S25","mix6_S26","mix6_S27","mix7_S28","mix7_S29","mix7_S30","mix8_S31","mix8_S32","mix8_S33","mix9_S34","mix9_S35","mix9_S36","P.del_S2","P.pra_S8","P.tre_S1","Z.mays_S9"
"11","Bromus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Broussonetia",0,0,259,0,0,40,50,40,41,28,53,262,118,279,58,150,56,34,60,76,0,0,54,0,0,0,90,150,95,0,0,0,127,36,60,66,49,30,0,0,0,126,82,104,89,126,170,47,61,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,60,59,45,29,134,52,30,44,0,0,0,0,0,0,40,0,225,0,125,95,65,70,34,0,0,0,0
"13","Camphorosma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Carya",0,0,0,0,2415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,40,0,0,0,0,0,0,286,241,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,35,180,37,33,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Celtis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Cynodon",0,0,0,0,0,0,32,0,39,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,48,0,0,0,0,0,0,42,29,0,0,55,0,0
"17","Dactylis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Echinochloa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Festuca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Juniperus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
